"ID","VERTEX","LAT","LON"
313,"3","43.067","-70.767"
313,"4","42.400","-70.767"
315,"1","39.7","-70.2"
315,"2","40.333","-70.2"
315,"3","40.333","-71.017"
315,"4","39.7","-71.017"
335,"1","41.167","-70.067"
335,"2","41.833","-70.067"
335,"3","41.833","-70.933"
335,"4","41.167","-70.933"
355,"1","39.650","-70.900"
355,"2","40.300","-70.900"
355,"3","40.300","-71.767"
355,"4","39.650","-71.767"
356,"1","41.53333333","-69.7"
356,"2","42.31666667","-69.7"
356,"3","42.31666667","-70.66666667"
356,"4","41.53333333","-70.66666667"
357,"1","30.0","-81.31667"
357,"2","30.0","-80.81667"
357,"3","29.31667","-80.81667"
357,"4","29.31667","-81.04833"
357,"5","29.67833","-81.222"
357,"6","30.0","-81.31667"
396,"1","40.4","-68.75"
396,"2","41.067","-68.75"
396,"3","41.067","-69.633"
396,"4","40.4","-69.633"
416,"1","32.02683333","-80.26666667"
416,"2","31.36666667","-80.26666667"
416,"3","31.36666667","-80.86"
416,"4","31.45","-80.86"
416,"5","31.83333333","-80.55333333"
415,"1","40.4","-69.55"
415,"2","41.067","-69.55"
415,"3","41.067","-70.433"
415,"4","40.4","-70.433"
417,"1","40.55","-69.733"
417,"2","41.2167","-69.733"
417,"3","41.2167","-70.6"
417,"4","40.55","-70.6"
436,"1","40.833","-69.767"
436,"2","41.633","-69.767"
436,"3","41.633","-70.833"
436,"4","40.833","-70.833"
456,"1","40.483","-69.750"
456,"2","41.200","-69.750"
456,"3","41.200","-70.683"
456,"4","40.483","-70.683"
476,"1","41.183","-69.350"
476,"2","41.917","-69.350"
476,"3","41.917","-70.350"
476,"4","41.183","-70.350"
496,"1","43.333","-68.167"
496,"2","43.983","-68.167"
496,"3","43.983","-69.067"
496,"4","43.333","-69.067"
497,"1","42.517","-70.233"
497,"2","43.217","-70.233"
497,"3","43.217","-71.200"
497,"4","42.517","-71.200"
498,"1","40.933","-70.767"
498,"2","41.583","-70.767"
498,"3","41.583","-69.933"
498,"4","40.933","-69.933"
518,"1","41.433","-69.767"
518,"2","42.183","-69.767"
518,"3","42.183","-70.717"
518,"4","41.433","-70.717"
519,"1","40.933","-69.933"
519,"2","41.583","-69.933"
519,"3","41.583","-70.767"
519,"4","40.933","-70.767"
520,"1","37.983","-74.000"
520,"2","38.750","-74.000"
520,"3","38.750","-74.883"
520,"4","37.983","-74.883"
521,"1","40.467","-69.467"
521,"2","41.2","-69.467"
521,"3","41.2","-70.417"
521,"4","40.467","-70.417"
543,"1","40.683","-70.183"
543,"2","41.4","-70.183"
543,"3","41.4","-71.217"
543,"4","40.683","-71.217"
563,"1","40.450","-72.133"
563,"2","41.133","-72.133"
563,"3","41.133","-73.050"
563,"4","40.450","-73.050"
565,"1","40.933","-70.733"
565,"2","41.617","-70.733"
565,"3","41.617","-71.65"
565,"4","40.933","-71.65"
585,"1","40.733","-69.850"
585,"2","41.433","-69.850"
585,"3","41.433","-70.783"
585,"4","40.733","-70.783"
586,"1","42.150","-67.933"
586,"2","42.883","-67.933"
586,"3","42.883","-68.917"
586,"4","42.150","-68.917"
606,"1","42.4","-68.667"
606,"2","43.05","-68.667"
606,"3","43.05","-69.567"
606,"4","42.4","-69.567"
646,"1","40.767","-68.800"
646,"2","41.417","-68.800"
646,"3","41.417","-69.683"
646,"4","40.767","-69.683"
667,"1","41.967","-70.35"
667,"2","42.633","-70.35"
667,"3","42.633","-71.25"
667,"4","41.967","-71.25"
689,"1","42.18333","-70.0667"
689,"2","42.8333","-70.0667"
689,"3","42.8333","-70.95"
689,"4","42.18333","-70.95"
709,"1","42.183","-70.067"
709,"2","42.833","-70.067"
709,"3","42.833","-70.95"
709,"4","42.183","-70.95"
729,"1","38.69907774","-72.99997399"
729,"2","39.40525566","-72.99997399"
729,"3","39.40525566","-73.90932601"
729,"4","38.69907774","-73.90932601"
749,"1","42.55261443","-69.7233666"
749,"2","43.23702557","-69.7233666"
749,"3","43.23702557","-70.82721059"
749,"4","42.55261443","-70.82721059"
769,"1","40.083","-69.067"
769,"2","40.817","-69.067"
769,"3","40.817","-70.033"
769,"4","40.083","-70.033"
789,"1","40.717","-70.150"
789,"2","41.433","-70.150"
789,"3","41.433","-71.083"
789,"4","40.717","-71.083"
809,"1","40.717","-70.150"
809,"2","41.433","-70.150"
809,"3","41.433","-71.083"
809,"4","40.717","-71.083"
829,"1","40.5571","-69.8733"
829,"2","41.2415","-69.8733"
829,"3","41.2415","-70.7787"
829,"4","40.5571","-70.7787"
849,"1","42.050","-70.3"
849,"2","42.683","-70.3"
849,"3","42.683","-71.217"
849,"4","42.050","-71.217"
869,"1","40.583","-69.867"
869,"2","41.317","-69.867"
869,"3","41.317","-70.85"
869,"4","40.583","-70.85"
889,"1","40.583","-69.867"
889,"2","41.317","-69.867"
889,"3","41.317","-70.85"
889,"4","40.583","-70.85"
909,"1","40.633","-70.783"
909,"2","41.4","-70.783"
909,"3","41.4","-71.783"
909,"4","40.633","-71.783"
929,"1","39.8528","-71.8160"
929,"2","40.5372","-71.8160"
929,"3","40.5372","-72.7716"
929,"4","39.8528","-72.7716"
2945,"1","40.78548","-70.39455672"
2945,"2","41.28548","-70.39455672"
2945,"3","41.28548","-69.73169328"
2945,"4","40.78548","-69.73169328"
2965,"1","40.8781","-69.6046"
2965,"2","41.5378","-69.6046"
2965,"3","41.5378","-70.4814"
2965,"4","40.8781","-70.4814"
2985,"1","40.8781","-69.6046"
2985,"2","41.5378","-69.6046"
2985,"3","41.5378","-70.4814"
2985,"4","40.8781","-70.4814"
3005,"1","40.900","-69.700"
3005,"2","41.550","-69.700"
3005,"3","41.550","-70.583"
3005,"4","40.900","-70.583"
3025,"1","40.367","-69.617"
3025,"2","41.25","-69.617"
3025,"3","41.25","-70.85"
3025,"4","40.367","-70.85"
3045,"1","36.200","-73.917"
3045,"2","36.900","-73.917"
3045,"3","36.900","-74.783"
3045,"4","36.200","-74.783"
3066,"1","36.23014764","-74.47934438"
3066,"2","36.88985236","-74.47934438"
3066,"3","36.88985236","-75.30065562"
3066,"4","36.23014764","-75.30065562"
3085,"1","40.4","-69.717"
3085,"2","41.167","-69.717"
3085,"3","41.167","-70.667"
3085,"4","40.4","-70.667"
3105,"1","32.233","-79.95"
3105,"2","31.533","-79.95"
3105,"3","31.533","-80.783"
3105,"4","31.833","-80.5533"
3105,"5","32.233","-79.95"
3125,"1","40.783","-69.767"
3125,"2","41.467","-69.767"
3125,"3","41.467","-70.750"
3125,"4","40.783","-70.750"
3145,"1","40.783","-69.767"
3145,"2","41.467","-69.767"
3145,"3","41.467","-70.75"
3145,"4","40.783","-70.75"
3146,"1","37.68","-75.1"
3146,"2","37.68","-74.21"
3146,"3","36.97","-74.21"
3146,"4","36.97","-75.1"
3147,"1","42.71","-71.29"
3147,"2","42.71","-70.33"
3147,"3","42","-70.34"
3147,"4","42","-71.29"
3148,"1","41.42","-70.97"
3148,"2","41.42","-70.09"
3148,"3","40.76","-70.09"
3148,"4","40.76","-70.97"
3149,"1","42.54","-70.96"
3149,"2","42.54","-70.06"
3149,"3","41.88","-70.07"
3149,"4","41.88","-70.95"
3150,"1","42.98","-71.28"
3150,"2","42.98","-70.16"
3150,"3","42.16","-70.16"
3150,"4","42.16","-71.27"
3151,"1","42.367","-70.45"
3151,"2","42.367","-69.6"
3151,"3","41.733","-69.6"
3151,"4","41.733","-70.45"
3152,"1","41.533","-70.483"
3152,"2","41.533","-69.6"
3152,"3","40.90","-69.6"
3152,"4","40.90","-70.483"
3153,"1","41.28","-70.71"
3153,"2","41.28","-69.79"
3153,"3","40.62","-69.79"
3153,"4","40.62","-70.71"
3154,"1","41.28","-70.71"
3154,"2","41.28","-69.79"
3154,"3","40.62","-69.79"
3154,"4","40.62","-70.71"
3155,"1","42.117","-70.750"
3155,"2","42.117","-69.9"
3155,"3","41.467","-69.9"
3155,"4","41.467","-70.750"
3156,"1","39.55","-74.7"
3156,"2","39.55","-73.817"
3156,"3","38.867","-73.817"
3156,"4","38.867","-74.7"
3157,"1","41.28","-70.61"
3157,"2","41.28","-69.42"
3157,"3","40.40","-69.42"
3157,"4","40.40","-70.61"
3205,"1","40.467","-69.517"
3205,"2","41.2","-69.517"
3205,"3","41.2","-70.6"
3205,"4","40.467","-70.6"
3185,"1","41.4745378","-69.8925692"
3185,"2","42.1121341","-69.8925692"
3185,"3","42.1121341","-70.744585"
3185,"4","41.4745378","-70.744585"
3206,"1","40.467","-69.517"
3206,"2","41.2","-69.517"
3206,"3","41.2","-70.6"
3206,"4","40.467","-70.6"
3207,"1","40.467","-69.517"
3207,"2","41.2","-69.517"
3207,"3","41.2","-70.6"
3207,"4","40.467","-70.6"
3208,"1","40.467","-69.517"
3208,"2","41.2","-69.517"
3208,"3","41.2","-70.6"
3208,"4","40.467","-70.6"
3209,"1","40.467","-69.517"
3209,"2","41.2","-69.517"
3209,"3","41.2","-70.6"
3209,"4","40.467","-70.6"
3225,"1","40.467","-69.517"
3225,"2","41.2","-69.517"
3225,"3","41.2","-70.6"
3225,"4","40.467","-70.6"
3245,"1","40.467","-69.517"
3245,"2","41.2","-69.517"
3245,"3","41.2","-70.6"
3245,"4","40.467","-70.6"
3265,"1","40.47","-69.52"
3265,"2","41.2","-69.52"
3265,"3","41.2","-70.60"
3265,"4","40.47","-70.60"
3266,"1","40.47","-69.52"
3266,"2","41.2","-69.52"
3266,"3","41.2","-70.6"
3266,"4","40.47","-70.6"
3305,"1","40.47","-69.52"
3305,"2","41.2","-69.52"
3305,"3","41.2","-70.6"
3305,"4","40.47","-70.6"
3306,"1","42.67","-71.25"
3306,"2","42.67","-70.34"
3306,"3","42.03","-70.35"
3306,"4","42.03","-71.25"
3315,"1","39.99","-70.93"
3315,"2","40.65","-70.93"
3315,"3","40.65","-71.79"
3315,"4","39.99","-71.79"
3321,"1","40.12","-70.49"
3321,"2","40.78","-70.49"
3321,"3","40.78","-71.36"
3321,"4","40.12","-71.36"
3329,"1","39.99","-70.93"
3329,"2","40.65","-70.93"
3329,"3","40.65","-71.79"
3329,"4","39.99","-71.79"
3331,"1","40.12","-70.49"
3331,"2","40.78","-70.49"
3331,"3","40.78","-71.36"
3331,"4","40.12","-71.36"
3366,"1","40.067","-70.017"
3366,"2","40.733","-70.017"
3366,"3","40.733","-70.85"
3366,"4","40.067","-70.85"
3365,"1","40.083","-68.3"
3365,"2","40.8","-68.3"
3365,"3","40.8","-69.333"
3365,"4","40.083","-69.333"
3367,"1","39.99","-70.93"
3367,"2","40.65","-70.93"
3367,"3","40.65","-71.79"
3367,"4","39.99","-71.79"
3368,"1","40.12","-70.49"
3368,"2","40.78","-70.49"
3368,"3","40.78","-71.36"
3368,"4","40.12","-71.36"
3369,"1","40.067","-70.017"
3369,"2","40.733","-70.017"
3369,"3","40.733","-70.85"
3369,"4","40.067","-70.85"
3385,"1","40.900","-69.650"
3385,"2","41.567","-69.650"
3385,"3","41.567","-70.533"
3385,"4","40.900","-70.533"
3386,"1","41.24","-70.53"
3386,"2","41.24","-69.54"
3386,"3","40.49","-69.54"
3386,"4","40.49","-70.52"
3387,"1","41.24","-70.53"
3387,"2","41.24","-69.54"
3387,"3","40.49","-69.54"
3387,"4","40.49","-70.52"
3388,"1","41.24","-70.53"
3388,"2","41.24","-69.54"
3388,"3","40.49","-69.54"
3388,"4","40.49","-70.52"
3389,"1","41.39","-70.16"
3389,"2","41.39","-69.24"
3389,"3","40.72","-69.24"
3389,"4","40.72","-70.15"
3390,"1","41.39","-70.16"
3390,"2","41.39","-69.24"
3390,"3","40.72","-69.24"
3390,"4","40.72","-70.15"
3391,"1","41.02","-69.94"
3391,"2","41.02","-69.16"
3391,"3","40.41","-69.16"
3391,"4","40.41","-69.94"
3392,"1","41.02","-69.94"
3392,"2","41.02","-69.16"
3392,"3","40.41","-69.16"
3392,"4","40.41","-69.94"
3393,"1","41.17","-70.71"
3393,"2","41.17","-69.7"
3393,"3","40.47","-69.7"
3393,"4","40.47","-70.7"
3395,"1","41.58","-70.61"
3395,"2","41.58","-69.59"
3395,"3","40.86","-69.59"
3395,"4","40.86","-70.61"
3396,"1","41.18","-70.62"
3396,"2","41.18","-69.54"
3396,"3","40.36","-69.54"
3396,"4","40.36","-70.62"
3397,"1","41.18","-70.62"
3397,"2","41.18","-69.54"
3397,"3","40.36","-69.54"
3397,"4","40.36","-70.62"
3398,"1","41.18","-70.62"
3398,"2","41.18","-69.54"
3398,"3","40.36","-69.54"
3398,"4","40.36","-70.62"
3399,"1","41.18","-70.62"
3399,"2","41.18","-69.54"
3399,"3","40.36","-69.54"
3399,"4","40.36","-70.62"
3400,"1","41.03","-70.02"
3400,"2","41.03","-68.97"
3400,"3","40.25","-68.98"
3400,"4","40.25","-70.02"
3401,"1","41.18","-70.62"
3401,"2","41.18","-69.54"
3401,"3","40.36","-69.54"
3401,"4","40.36","-70.62"
3402,"1","41.03","-70.02"
3402,"2","41.03","-68.97"
3402,"3","40.25","-68.98"
3402,"4","40.25","-70.02"
3403,"1","41.18","-70.62"
3403,"2","41.18","-69.54"
3403,"3","40.36","-69.54"
3403,"4","40.36","-70.62"
3404,"1","42.73","-71.08"
3404,"2","42.73","-70.19"
3404,"3","42.07","-70.19"
3404,"4","42.07","-71.08"
3405,"1","42.75","-71.17"
3405,"2","42.75","-70.19"
3405,"3","42.07","-70.19"
3405,"4","42.07","-71.16"
3406,"1","42.75","-71.17"
3406,"2","42.75","-70.19"
3406,"3","42.07","-70.19"
3406,"4","42.07","-71.16"
3407,"1","42.79","-71.39"
3407,"2","42.79","-70.43"
3407,"3","42.08","-70.43"
3407,"4","42.08","-71.38"
3408,"1","42.79","-71.39"
3408,"2","42.79","-70.43"
3408,"3","42.08","-70.43"
3408,"4","42.08","-71.38"
3409,"1","41.27","-70.47"
3409,"2","41.27","-69.62"
3409,"3","40.54","-69.63"
3409,"4","40.54","-70.46"
3410,"1","41.27","-70.47"
3410,"2","41.27","-69.62"
3410,"3","40.54","-69.63"
3410,"4","40.54","-70.46"
3411,"1","41.27","-70.47"
3411,"2","41.27","-69.62"
3411,"3","40.54","-69.63"
3411,"4","40.54","-70.46"
3412,"1","41.27","-70.47"
3412,"2","41.27","-69.62"
3412,"3","40.54","-69.63"
3412,"4","40.54","-70.46"
3413,"1","41.27","-70.47"
3413,"2","41.27","-69.62"
3413,"3","40.54","-69.63"
3413,"4","40.54","-70.46"
3414,"1","41.27","-70.47"
3414,"2","41.27","-69.62"
3414,"3","40.54","-69.63"
3414,"4","40.54","-70.46"
